name_similarity,age_difference,same_gender,height_difference,weight_difference,same_hair_colour,same_eye_colour,client_match_label
1.0,19,0,0.0,0.0,0,0,0
1.0,8,0,0.0,0.0,0,0,0
0.26666666666666666,2,1,0.0,0.0,0,0,0
1.0,0,1,0.0,0.0,0,0,0
1.0,9,1,0.020000000000000018,0.0,0,1,0
1.0,4,1,0.0,0.0,0,0,0
1.0,2,0,0.020000000000000018,0.0,0,0,0
1.0,2,0,0.0,0.0,0,0,0
1.0,25,1,0.0,0.0,0,0,0
0.20689655172413793,8,1,0.0,0.0,0,0,0
0.29411764705882354,7,0,0.1200000000000001,73.0,0,0,0
0.1875,17,1,0.0,0.0,0,0,0
0.23255813953488372,7,1,0.0,56.0,0,0,0
0.07142857142857142,29,0,0.0,0.0,0,0,0
0.22857142857142856,1,1,0.0,0.0,0,0,0
1.0,32,0,0.0,0.0,0,0,0
0.9333333333333333,1,1,0.0005929951645859965,0.0,1,1,1
0.9830508474576272,0,1,0.0,0.0,0,0,1
1.0,0,1,0.010000000000000009,68.0,0,0,0
1.0,24,1,0.0,62.0,0,0,0
1.0,5,1,0.0,0.0,0,0,0
0.9714285714285714,0,1,0.011981656341067515,0.0,1,0,1
1.0,0,1,0.0,0.0,0,0,0
0.2857142857142857,6,0,0.0,0.0,0,0,0
0.2857142857142857,1,1,0.0,0.0,0,0,0
0.25806451612903225,6,0,0.0,0.0,0,0,0
1.0,1,1,0.0,0.0,0,0,0
1.0,14,1,0.0,0.0,0,0,0
1.0,6,1,0.050000000000000044,20.0,0,0,0
0.3783783783783784,20,1,0.0,230.0,0,0,0
1.0,1,1,0.030000000000000027,80.0,0,0,0
1.0,22,1,0.0,70.0,0,0,0
0.5263157894736842,0,1,0.0,0.0,0,0,0
0.2702702702702703,15,1,0.0,0.0,0,0,0
0.2962962962962963,0,1,0.0,0.0,0,0,0
0.26666666666666666,1,1,0.0,80.0,0,0,0
1.0,31,1,0.0,85.0,0,0,0
0.3225806451612903,27,0,0.0,0.0,0,0,0
1.0,15,0,0.0,80.0,0,0,0
0.34782608695652173,11,0,0.0,73.0,0,0,0
0.2962962962962963,15,0,0.28,0.0,0,0,0
1.0,2,0,0.0,0.0,0,0,0
0.2702702702702703,7,1,0.0,0.0,0,0,0
0.2222222222222222,39,0,0.0,0.0,0,0,0
0.1935483870967742,13,0,0.0,0.0,0,0,0
1.0,42,1,0.0,0.0,0,0,0
0.41379310344827586,10,1,0.0,0.0,0,0,0
1.0,30,1,0.0,0.0,0,0,0
1.0,0,1,0.0,0.0,1,1,1
1.0,10,0,0.0,0.0,0,0,0
0.41379310344827586,0,1,0.0,0.0,0,0,0
0.16,14,0,0.0,0.0,0,0,0
0.3076923076923077,17,0,0.0,0.0,0,0,0
1.0,7,1,0.0,0.0,0,0,0
0.2222222222222222,1,0,0.0,76.0,1,1,0
0.15384615384615385,11,1,0.0,0.0,0,0,0
1.0,7,0,0.10000000000000009,75.0,0,0,0
1.0,17,1,0.0,0.0,0,0,0
1.0,3,1,0.0,5.0,0,0,0
0.9,0,1,0.0,0.0,1,0,1
1.0,29,0,0.0,0.0,0,0,0
1.0,5,0,0.0,0.0,0,0,0
0.42105263157894735,4,1,0.0,72.0,0,0,0
1.0,29,1,0.0,0.0,0,0,0
0.3125,0,1,0.0,0.0,0,0,0
1.0,17,1,0.0,0.0,0,0,0
1.0,13,0,0.0,60.0,0,0,0
0.06060606060606061,6,0,0.050000000000000044,0.0,0,0,0
0.25806451612903225,19,1,0.020000000000000018,0.0,0,0,0
1.0,13,0,0.0,80.0,0,0,0
0.8333333333333334,1,1,0.0,0.0,0,0,1
0.3076923076923077,8,0,0.0,0.0,0,0,0
1.0,4,1,0.0,78.0,0,0,0
0.2631578947368421,2,0,0.0,0.0,0,0,0
0.32,5,1,0.0,0.0,0,1,0
0.20833333333333334,13,1,0.0,60.0,0,0,0
0.3125,18,1,0.0,8.0,0,0,0
1.0,20,1,0.0,54.0,1,0,0
1.0,10,0,0.0,0.0,0,0,0
0.2777777777777778,9,1,0.0,0.0,0,0,0
0.4,7,1,0.0,80.0,0,0,0
1.0,4,1,0.0,80.0,0,0,0
1.0,0,1,0.0,0.0,1,1,1
