id,count
interpol-red-2015-43692,3
interpol-red-2015-74874,3
interpol-red-2022-82960,3
interpol-red-2007-30259,3
interpol-red-2014-67594,3
interpol-red-2014-64315,3
Q356719,3
interpol-red-2017-198569,3
interpol-red-2014-34208,3
interpol-red-2014-31056,3
Q16146655,3
interpol-red-2016-41983,3
interpol-red-2011-11313,3
interpol-red-2013-43963,3
interpol-red-2011-17167,3
interpol-red-2019-48344,3
interpol-red-2019-47530,3
interpol-red-2011-31616,3
interpol-red-2011-36373,3
interpol-red-2017-126587,3
interpol-red-2021-63089,3
interpol-red-2012-348580,3
interpol-red-2012-342716,3
interpol-red-2012-331112,3
interpol-red-2016-68745,3
interpol-red-2019-127889,3
interpol-red-2012-325494,3
interpol-red-2007-14648,3
interpol-red-2009-4284,3
interpol-red-2016-71159,3
interpol-red-2002-16525,3
interpol-red-2005-51359,3
interpol-red-2004-56804,3
interpol-red-2004-5422,3
interpol-red-2015-33430,2
interpol-red-2013-31037,2
interpol-red-2013-3337,2
interpol-red-2013-37730,2
interpol-red-2013-38476,2
interpol-red-2020-80453,2
interpol-red-2021-55405,2
interpol-red-2013-42576,2
interpol-red-2013-43642,2
interpol-red-2020-84548,2
interpol-red-2013-23614,2
interpol-red-2015-29054,2
interpol-red-2015-19759,2
interpol-red-2013-44068,2
interpol-red-2015-14268,2
interpol-red-2013-45410,2
interpol-red-2015-13691,2
interpol-red-2013-46068,2
interpol-red-2013-5748,2
interpol-red-2013-24737,2
interpol-red-2020-79856,2
interpol-red-2021-47979,2
interpol-red-2013-17402,2
interpol-red-2012-314594,2
interpol-red-2012-321941,2
interpol-red-2015-43684,2
interpol-red-2020-73225,2
interpol-red-2012-326086,2
interpol-red-2021-66589,2
interpol-red-2012-330822,2
interpol-red-2015-42254,2
interpol-red-2020-77439,2
interpol-red-2012-331552,2
interpol-red-2012-333743,2
interpol-red-2012-334946,2
interpol-red-2012-335535,2
interpol-red-2012-335975,2
interpol-red-2012-340120,2
interpol-red-2020-78179,2
interpol-red-2012-348037,2
interpol-red-2015-36908,2
interpol-red-2015-34489,2
interpol-red-2012-6577,2
interpol-red-2013-12965,2
interpol-red-2021-51736,2
interpol-red-2014-72323,2
interpol-red-2013-63940,2
interpol-red-2014-61761,2
interpol-red-2014-48127,2
interpol-red-2021-13666,2
interpol-red-2014-50316,2
interpol-red-2014-50378,2
interpol-red-2014-51736,2
interpol-red-2014-52228,2
interpol-red-2014-55682,2
interpol-red-2021-22906,2
interpol-red-2014-60539,2
interpol-red-2021-20032,2
interpol-red-2014-46981,2
interpol-red-2014-76856,2
interpol-red-2014-6567,2
interpol-red-2014-67166,2
interpol-red-2014-76824,2
interpol-red-2014-69396,2
interpol-red-2014-76417,2
interpol-red-2014-70722,2
